dataset,model,condition,slice,mean,ci_low,ci_high,n_deletion_realizations,n_training_seeds,n_queries
WN18RR,RotatE,Relation-low,coverage_high,0.004420662753864259,0.0027027866099607217,0.006777554057082877,3,3,1075
WN18RR,TransE,Original,relation_high,0.08822325578111859,0.07671665303047018,0.10043059179801765,1,3,1251
WN18RR,TransE,Random,relation_high,0.08415490090648632,0.072848081832077,0.09675252597335757,3,3,1251
WN18RR,TransE,Structured-low,relation_high,0.07804115138984397,0.06578236083685951,0.09092080267189677,3,3,1251
WN18RR,TransE,Relation-low,relation_high,0.07945141644425395,0.06791653707764782,0.09159400623535915,3,3,1251
WN18RR,DistMult,Original,relation_high,0.04305362529669828,0.03342151554504004,0.05275793831062291,1,3,1251
WN18RR,DistMult,Random,relation_high,0.023239995592853196,0.016205840994252554,0.031645566901333806,3,3,1251
WN18RR,DistMult,Structured-low,relation_high,0.023003894902794215,0.016750173654285147,0.03041510031678552,3,3,1251
WN18RR,DistMult,Relation-low,relation_high,0.023266063159456236,0.01732275601931977,0.029734150976662967,3,3,1251
WN18RR,ComplEx,Original,relation_high,0.05233446939318338,0.04147655788025919,0.0638405247975471,1,3,1251
WN18RR,ComplEx,Random,relation_high,0.025390200221238016,0.0185429541439275,0.03252622987757591,3,3,1251
WN18RR,ComplEx,Structured-low,relation_high,0.026557291460043386,0.01903543997948311,0.03499598738564308,3,3,1251
WN18RR,ComplEx,Relation-low,relation_high,0.02577662979015144,0.019415272233073558,0.03282551084146878,3,3,1251
WN18RR,RotatE,Original,relation_high,0.00288058512920557,0.0017169452621574853,0.004594094030326395,1,3,1251
WN18RR,RotatE,Random,relation_high,0.003239699496533092,0.002038513451405879,0.004929164045388734,3,3,1251
WN18RR,RotatE,Structured-low,relation_high,0.0033216883894322817,0.002131966138699937,0.004855362227962951,3,3,1251
WN18RR,RotatE,Relation-low,relation_high,0.00360684694378166,0.0022107390386276508,0.005354654895666065,3,3,1251
CoDEx-M,TransE,Original,overall,0.092905604376569,0.08864645858353776,0.09700118418027118,1,3,10311
CoDEx-M,TransE,Random,overall,0.09437016982031965,0.08991982739464409,0.099197676246104,3,3,10311
CoDEx-M,TransE,Structured-low,overall,0.09434102814321275,0.08942110372741063,0.09961676782048036,3,3,10311
CoDEx-M,TransE,Relation-low,overall,0.10264780901976166,0.09860428041157776,0.10641677335153597,3,3,10311
CoDEx-M,DistMult,Original,overall,0.2660140457511166,0.25690701346077616,0.274934190212443,1,3,10311
CoDEx-M,DistMult,Random,overall,0.2625590027288707,0.25562648394958176,0.2690638805019376,3,3,10311
CoDEx-M,DistMult,Structured-low,overall,0.2574539196128567,0.2502706283537238,0.2655086255747668,3,3,10311
CoDEx-M,DistMult,Relation-low,overall,0.2565312189422394,0.2469359885664016,0.266092987369927,3,3,10311
CoDEx-M,ComplEx,Original,overall,0.2626573535706919,0.2545486130610632,0.2700129214980951,1,3,10311
CoDEx-M,ComplEx,Random,overall,0.2583000334264777,0.2495853974384385,0.2665765605100452,3,3,10311
CoDEx-M,ComplEx,Structured-low,overall,0.25210139766496537,0.24159982395542193,0.26038025628029604,3,3,10311
CoDEx-M,ComplEx,Relation-low,overall,0.24806155146112147,0.24083608167171638,0.255105289316097,3,3,10311
CoDEx-M,RotatE,Original,overall,0.019789632940604786,0.018240263953170428,0.021505575489630988,1,3,10311
CoDEx-M,RotatE,Random,overall,0.019703201929749933,0.018297484139201854,0.021369596988840122,3,3,10311
CoDEx-M,RotatE,Structured-low,overall,0.01765944727218366,0.016595364881769666,0.018774943294825132,3,3,10311
CoDEx-M,RotatE,Relation-low,overall,0.03463904029342515,0.025114974598692507,0.04343276776158864,3,3,10311
CoDEx-M,TransE,Original,coverage_low,0.0797834312261969,0.07433382747539699,0.08533687133974933,1,3,2937
CoDEx-M,TransE,Random,coverage_low,0.08190245402259637,0.07631431053151347,0.0876603392343567,3,3,2937
CoDEx-M,TransE,Structured-low,coverage_low,0.07818111448867461,0.07305230787390185,0.08372092575343576,3,3,2937
CoDEx-M,TransE,Relation-low,coverage_low,0.08988839276541162,0.08450580218713728,0.09546272446484169,3,3,2937
CoDEx-M,DistMult,Original,coverage_low,0.26193179227658486,0.24718580434766002,0.2763801595518081,1,3,2937
CoDEx-M,DistMult,Random,coverage_low,0.2534188545883511,0.24121326935664084,0.2655824377794292,3,3,2937
CoDEx-M,DistMult,Structured-low,coverage_low,0.24398381128082264,0.23226952282910038,0.2558522873896533,3,3,2937
CoDEx-M,DistMult,Relation-low,coverage_low,0.24987175143328863,0.23785775059428646,0.26139301629582434,3,3,2937
CoDEx-M,ComplEx,Original,coverage_low,0.24817389293494288,0.23576348515106113,0.26029974636263614,1,3,2937
CoDEx-M,ComplEx,Random,coverage_low,0.24589126538336908,0.2339899531064868,0.25875375935006856,3,3,2937
CoDEx-M,ComplEx,Structured-low,coverage_low,0.23742647354160756,0.22316675634711403,0.25147527627695054,3,3,2937
CoDEx-M,ComplEx,Relation-low,coverage_low,0.2405830196440885,0.22896268137296025,0.2520181994425206,3,3,2937
CoDEx-M,RotatE,Original,coverage_low,0.015355874111796857,0.012808451852287663,0.018394220216840996,1,3,2937
CoDEx-M,RotatE,Random,coverage_low,0.01444095217122424,0.012446955363012276,0.0171789206989908,3,3,2937
CoDEx-M,RotatE,Structured-low,coverage_low,0.012005033316161016,0.010606701486861058,0.013504984831578776,3,3,2937
CoDEx-M,RotatE,Relation-low,coverage_low,0.028095674855311555,0.02057789483457273,0.03543408620108316,3,3,2937
CoDEx-M,TransE,Original,relation_low,0.11758403940245644,0.11036573917648565,0.12523975086924177,1,3,2790
CoDEx-M,TransE,Random,relation_low,0.12522258075248222,0.1159898926937324,0.13501968914896587,3,3,2790
CoDEx-M,TransE,Structured-low,relation_low,0.12344605563478865,0.1157753177293974,0.1313190113907632,3,3,2790
CoDEx-M,TransE,Relation-low,relation_low,0.13116049451086942,0.1224952872990058,0.14019045723374218,3,3,2790
CoDEx-M,DistMult,Original,relation_low,0.27932024563072094,0.26715364086303056,0.2915904520645931,1,3,2790
CoDEx-M,DistMult,Random,relation_low,0.27050456584983473,0.25775459576193943,0.28439223699597704,3,3,2790
CoDEx-M,DistMult,Structured-low,relation_low,0.2769022611478263,0.26370717330702254,0.29009528711349597,3,3,2790
CoDEx-M,DistMult,Relation-low,relation_low,0.23619666553193086,0.22111559082616494,0.25096948593404417,3,3,2790
CoDEx-M,ComplEx,Original,relation_low,0.2714090601972441,0.25802279340785744,0.28536899181502656,1,3,2790
CoDEx-M,ComplEx,Random,relation_low,0.2677222678010233,0.2526380723445889,0.2827362874735192,3,3,2790
CoDEx-M,ComplEx,Structured-low,relation_low,0.2609365288802147,0.2470787484752836,0.27452022420925215,3,3,2790
CoDEx-M,ComplEx,Relation-low,relation_low,0.22382656323056183,0.21090161332985788,0.23700005775395855,3,3,2790
CoDEx-M,RotatE,Original,relation_low,0.011555847358421686,0.009644758359948522,0.013901700344186047,1,3,2790
CoDEx-M,RotatE,Random,relation_low,0.011085338896972967,0.009159030369402561,0.0130661982707893,3,3,2790
CoDEx-M,RotatE,Structured-low,relation_low,0.010893265571255983,0.00904658868864038,0.012935894481515083,3,3,2790
CoDEx-M,RotatE,Relation-low,relation_low,0.01391131056453666,0.008628695506630318,0.01901411251903534,3,3,2790
CoDEx-M,TransE,Original,coverage_mid,0.08856944024807081,0.08311125259176719,0.09455307668560017,1,3,4748
CoDEx-M,TransE,Random,coverage_mid,0.09073114189445543,0.08509437821045897,0.09643462051672612,3,3,4748
CoDEx-M,TransE,Structured-low,coverage_mid,0.08820245185298316,0.08320765430501575,0.0937524722314737,3,3,4748
CoDEx-M,TransE,Relation-low,coverage_mid,0.09907325147196391,0.09421129914224365,0.10440316129407097,3,3,4748
CoDEx-M,DistMult,Original,coverage_mid,0.26262524290205813,0.24971570910280033,0.275695126203175,1,3,4748
CoDEx-M,DistMult,Random,coverage_mid,0.2602536666425075,0.25095223267612127,0.2697921299326683,3,3,4748
CoDEx-M,DistMult,Structured-low,coverage_mid,0.2523058779597909,0.24263671457012612,0.26213330095560966,3,3,4748
CoDEx-M,DistMult,Relation-low,coverage_mid,0.2560909463394715,0.24409828051948765,0.26734738784094636,3,3,4748
CoDEx-M,ComplEx,Original,coverage_mid,0.25910505451100524,0.24939991328134067,0.26843353459917796,1,3,4748
CoDEx-M,ComplEx,Random,coverage_mid,0.2538154281795195,0.24197755029181914,0.26523663150182997,3,3,4748
CoDEx-M,ComplEx,Structured-low,coverage_mid,0.24735640648618487,0.237315488662687,0.25728317891278896,3,3,4748
CoDEx-M,ComplEx,Relation-low,coverage_mid,0.24468490771060455,0.23527231638128143,0.25399357949251733,3,3,4748
CoDEx-M,RotatE,Original,coverage_mid,0.01859984203869093,0.01644093461653507,0.021014347745925428,1,3,4748
CoDEx-M,RotatE,Random,coverage_mid,0.01946025991116494,0.017627624288445925,0.021489086825389227,3,3,4748
CoDEx-M,RotatE,Structured-low,coverage_mid,0.01709688451834844,0.015430800106570837,0.01894713536561049,3,3,4748
CoDEx-M,RotatE,Relation-low,coverage_mid,0.034779571397335854,0.02474827019512258,0.04377609543107415,3,3,4748
CoDEx-M,TransE,Original,relation_mid,0.09961079330197964,0.0923516309754101,0.10628301517834166,1,3,3886
CoDEx-M,TransE,Random,relation_mid,0.09890168929590173,0.0925619201220045,0.10535868141354461,3,3,3886
CoDEx-M,TransE,Structured-low,relation_mid,0.09973897111314574,0.09087520849577553,0.10835960055963262,3,3,3886
CoDEx-M,TransE,Relation-low,relation_mid,0.11324989913462848,0.10541155331740441,0.12081832987217238,3,3,3886
CoDEx-M,DistMult,Original,relation_mid,0.2757083510451755,0.2629226381127836,0.2895131734057105,1,3,3886
CoDEx-M,DistMult,Random,relation_mid,0.27025316778002223,0.25824494052309865,0.2826477680980041,3,3,3886
CoDEx-M,DistMult,Structured-low,relation_mid,0.2627075646582175,0.24754795020694018,0.27713871654199607,3,3,3886
CoDEx-M,DistMult,Relation-low,relation_mid,0.2612434555006601,0.24362089231746897,0.27670739706000763,3,3,3886
CoDEx-M,ComplEx,Original,relation_mid,0.27163293059698346,0.26081484873049054,0.2822566858922703,1,3,3886
CoDEx-M,ComplEx,Random,relation_mid,0.2624954967026026,0.251844840695737,0.27419890704473676,3,3,3886
CoDEx-M,ComplEx,Structured-low,relation_mid,0.25323134080212084,0.23605124969850882,0.26869066413515946,3,3,3886
