dataset,model,condition,slice,clean_mean,random_mean,structured_mean,random_degradation,structured_degradation,differential_degradation,ci_low,ci_high
WN18RR,ComplEx,Relation-low,relation_low,0.12747873945230606,0.08599416388123489,0.006517383580101869,0.04148457557107117,0.12096135587220419,0.07947678030113302,0.0629737294188659,0.09661370266634406
WN18RR,RotatE,Structured-low,relation_low,0.0021351248181223706,0.0023816830364573323,0.0022824309742006453,-0.0002465582183349617,-0.0001473061560782747,9.925206225668698e-05,-0.0018902833597959276,0.0019376570513041757
WN18RR,RotatE,Relation-low,relation_low,0.0021351248181223706,0.0023816830364573323,0.0009247140099596137,-0.0002465582183349617,0.0012104108081627569,0.0014569690264977185,-9.392420418999604e-06,0.0032504312214628466
WN18RR,TransE,Structured-low,coverage_mid,0.15201304900020793,0.14832501378713006,0.14098368201150147,0.003688035213077867,0.011029366988706463,0.007341331775628596,-0.0007649221499733495,0.014831378937930052
WN18RR,TransE,Relation-low,coverage_mid,0.15201304900020793,0.14832501378713006,0.12958973575162938,0.003688035213077867,0.022423313248578547,0.01873527803550068,0.004815526726571221,0.03237353671715895
WN18RR,DistMult,Structured-low,coverage_mid,0.2768520515286,0.1700524326952338,0.18698487982094938,0.1067996188333662,0.0898671717076506,-0.016932447125715594,-0.05766963612066515,0.020000098478288025
WN18RR,DistMult,Relation-low,coverage_mid,0.2768520515286,0.1700524326952338,0.20930956837820072,0.1067996188333662,0.06754248315039926,-0.03925713568296693,-0.07250421812864566,-0.012383161305967208
WN18RR,ComplEx,Structured-low,coverage_mid,0.3772201923569859,0.2616311825387166,0.25280097886712005,0.1155890098182693,0.12441921348986584,0.008830203671596537,-0.009101427868821295,0.024714346947289856
WN18RR,ComplEx,Relation-low,coverage_mid,0.3772201923569859,0.2616311825387166,0.2809703716609453,0.1155890098182693,0.0962498206960406,-0.019339189122228706,-0.04141568378569511,-0.0003369250955352485
WN18RR,RotatE,Structured-low,coverage_mid,0.002140554753799146,0.0027811893674989175,0.0025498628530678195,-0.0006406346136997713,-0.0004093080992686733,0.000231326514431098,-0.0014938367847857285,0.0022495721813602606
WN18RR,RotatE,Relation-low,coverage_mid,0.002140554753799146,0.0027811893674989175,0.0019027700173088716,-0.0006406346136997713,0.00023778473649027458,0.0008784193501900459,-0.0009329417366714331,0.002749347036071679
WN18RR,TransE,Structured-low,relation_mid,0.18656668887167155,0.18902513863880638,0.19040282023314917,-0.0024584497671348293,-0.0038361313614776182,-0.001377681594342789,-0.009738247991418555,0.006740265454762187
WN18RR,TransE,Relation-low,relation_mid,0.18656668887167155,0.18902513863880638,0.20888524153410168,-0.0024584497671348293,-0.02231855266243013,-0.0198601028952953,-0.028832177605032525,-0.010576380919937099
WN18RR,DistMult,Structured-low,relation_mid,0.5186346828126722,0.3214594626613891,0.37492147915294355,0.19717522015128314,0.14371320365972867,-0.053462016491554465,-0.11939579793755922,0.006959648632010774
WN18RR,DistMult,Relation-low,relation_mid,0.5186346828126722,0.3214594626613891,0.46021171743412337,0.19717522015128314,0.05842296537854885,-0.13875225477273428,-0.19308596642370612,-0.09706222608501221
WN18RR,ComplEx,Structured-low,relation_mid,0.7715138564334123,0.539739302015497,0.5551007460157565,0.23177455441791528,0.21641311041765576,-0.015361444000259517,-0.05621079131800337,0.018754888288823462
WN18RR,ComplEx,Relation-low,relation_mid,0.7715138564334123,0.539739302015497,0.665491711134729,0.23177455441791528,0.10602214529868326,-0.12575240911923202,-0.16807093524267555,-0.09065919853594459
WN18RR,RotatE,Structured-low,relation_mid,0.001639473743263844,0.0033575423886143476,0.0031344095967825924,-0.0017180686453505036,-0.0014949358535187485,0.00022313279183175513,-0.002555045668920159,0.0029465446495882705
WN18RR,RotatE,Relation-low,relation_mid,0.001639473743263844,0.0033575423886143476,0.003078630584745148,-0.0017180686453505036,-0.001439156841481304,0.0002789118038691997,-0.0024019757155545546,0.002977043166927261
WN18RR,TransE,Structured-low,coverage_high,0.13660852734557294,0.1313922932976355,0.1326019083789311,0.005216234047937446,0.0040066189666418395,-0.0012096150812956064,-0.008699095652451454,0.00675126681873864
WN18RR,TransE,Relation-low,coverage_high,0.13660852734557294,0.1313922932976355,0.1278882578845147,0.005216234047937446,0.00872026946105825,0.003504035413120804,-0.007884275993057153,0.015284088945487192
WN18RR,DistMult,Structured-low,coverage_high,0.2843197369017615,0.1634328132645859,0.19945564437722071,0.1208869236371756,0.08486409252454077,-0.03602283111263482,-0.07601072877139663,-0.0006588608758514217
WN18RR,DistMult,Relation-low,coverage_high,0.2843197369017615,0.1634328132645859,0.22663172616678076,0.1208869236371756,0.05768801073498073,-0.06319891290219487,-0.0954397722020219,-0.03929156975539797
WN18RR,ComplEx,Structured-low,coverage_high,0.44614026016206426,0.2946021619015184,0.3211701848332236,0.15153809826054587,0.12497007532884064,-0.026568022931705237,-0.05247337647215064,0.0019661221552041254
WN18RR,ComplEx,Relation-low,coverage_high,0.44614026016206426,0.2946021619015184,0.34729410648792164,0.15153809826054587,0.09884615367414262,-0.05269194458640325,-0.08114944695688012,-0.025714070908282583
WN18RR,RotatE,Structured-low,coverage_high,0.002877435927307129,0.0038931308706020387,0.004418648470841563,-0.0010156949432949098,-0.0015412125435344337,-0.000525517600239524,-0.002852422004055243,0.0020726347581754238
WN18RR,RotatE,Relation-low,coverage_high,0.002877435927307129,0.0038931308706020387,0.004420662753864259,-0.0010156949432949098,-0.00154322682655713,-0.0005275318832622202,-0.0033655419604458757,0.0021950264345552938
WN18RR,TransE,Structured-low,relation_high,0.08822325578111859,0.08415490090648632,0.07804115138984397,0.004068354874632266,0.010182104391274621,0.0061137495166423556,-0.0012440246149851022,0.013644120909860082
WN18RR,TransE,Relation-low,relation_high,0.08822325578111859,0.08415490090648632,0.07945141644425395,0.004068354874632266,0.008771839336864637,0.004703484462232371,-0.005090793958837569,0.014416966884980687
WN18RR,DistMult,Structured-low,relation_high,0.04305362529669828,0.023239995592853196,0.023003894902794215,0.019813629703845086,0.020049730393904067,0.00023610069005898168,-0.006879906175981293,0.008532238677425209
WN18RR,DistMult,Relation-low,relation_high,0.04305362529669828,0.023239995592853196,0.023266063159456236,0.019813629703845086,0.019787562137242046,-2.6067566603039938e-05,-0.006780855040347684,0.007752791469961491
WN18RR,ComplEx,Structured-low,relation_high,0.05233446939318338,0.025390200221238016,0.026557291460043386,0.026944269171945368,0.025777177933139998,-0.0011670912388053699,-0.007696525783133437,0.004798453194533201
WN18RR,ComplEx,Relation-low,relation_high,0.05233446939318338,0.025390200221238016,0.02577662979015144,0.026944269171945368,0.026557839603031944,-0.00038642956891342395,-0.006369345358726575,0.0050082825573546244
WN18RR,RotatE,Structured-low,relation_high,0.00288058512920557,0.003239699496533092,0.0033216883894322817,-0.0003591143673275219,-0.0004411032602267117,-8.198889289918977e-05,-0.0019868577519849477,0.0019662318238414926
WN18RR,RotatE,Relation-low,relation_high,0.00288058512920557,0.003239699496533092,0.00360684694378166,-0.0003591143673275219,-0.0007262618145760899,-0.000367147447248568,-0.0024938123798163895,0.0015494694305420668
CoDEx-M,TransE,Structured-low,overall,0.092905604376569,0.09437016982031965,0.09434102814321275,-0.0014645654437506483,-0.0014354237666437536,2.9141677106894748e-05,-0.007362236031578087,0.005565463067207877
CoDEx-M,TransE,Relation-low,overall,0.092905604376569,0.09437016982031965,0.10264780901976166,-0.0014645654437506483,-0.009742204643192656,-0.008277639199442008,-0.01389312889864099,-0.0018307338318979318
CoDEx-M,DistMult,Structured-low,overall,0.2660140457511166,0.2625590027288707,0.2574539196128567,0.003455043022245863,0.008560126138259905,0.005105083116014042,-0.0015461409461038896,0.011635288952214436
CoDEx-M,DistMult,Relation-low,overall,0.2660140457511166,0.2625590027288707,0.2565312189422394,0.003455043022245863,0.009482826808877187,0.006027783786631324,-0.0027217488713216073,0.013833872185734028
CoDEx-M,ComplEx,Structured-low,overall,0.2626573535706919,0.2583000334264777,0.25210139766496537,0.004357320144214194,0.010555955905726555,0.006198635761512361,-2.7163667731619374e-05,0.012341332349855018
CoDEx-M,ComplEx,Relation-low,overall,0.2626573535706919,0.2583000334264777,0.24806155146112147,0.004357320144214194,0.014595802109570455,0.010238481965356261,0.004506312577064801,0.016427787986414682
CoDEx-M,RotatE,Structured-low,overall,0.019789632940604786,0.019703201929749933,0.01765944727218366,8.643101085485314e-05,0.002130185668421127,0.002043754657566274,0.00034525966926190945,0.003911959352823199
CoDEx-M,RotatE,Relation-low,overall,0.019789632940604786,0.019703201929749933,0.03463904029342515,8.643101085485314e-05,-0.014849407352820362,-0.014935838363675215,-0.023061554851576623,-0.006320269828157394
CoDEx-M,TransE,Structured-low,coverage_low,0.0797834312261969,0.08190245402259637,0.07818111448867461,-0.0021190227963994723,0.0016023167375222858,0.003721339533921758,-0.0030571354333349997,0.010456028689425169
CoDEx-M,TransE,Relation-low,coverage_low,0.0797834312261969,0.08190245402259637,0.08988839276541162,-0.0021190227963994723,-0.010104961539214724,-0.007985938742815252,-0.0143823780641585,-0.0007711208908453844
CoDEx-M,DistMult,Structured-low,coverage_low,0.26193179227658486,0.2534188545883511,0.24398381128082264,0.008512937688233746,0.017947980995762225,0.009435043307528479,0.001139986342635988,0.01717740630588455
CoDEx-M,DistMult,Relation-low,coverage_low,0.26193179227658486,0.2534188545883511,0.24987175143328863,0.008512937688233746,0.012060040843296232,0.0035471031550624865,-0.005992913902816442,0.012737194828529834
CoDEx-M,ComplEx,Structured-low,coverage_low,0.24817389293494288,0.24589126538336908,0.23742647354160756,0.002282627551573796,0.010747419393335317,0.008464791841761521,-0.0010984355314819913,0.01861612008497276
