dataset,model_a,model_b,condition_a,condition_b,slice,gap_a,gap_a_ci_low,gap_a_ci_high,gap_b,gap_b_ci_low,gap_b_ci_high,supported
WN18RR,TransE,ComplEx,Random,Relation-low,relation_mid,-0.35071416337669065,-0.3776563941676088,-0.31840506076274744,-0.45660646960062734,-0.4792808779495125,-0.43324502081847677,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,relation_mid,-0.3646979257826074,-0.3885671744396534,-0.3403645638651436,-0.45660646960062734,-0.4792808779495125,-0.43324502081847677,False
WN18RR,TransE,RotatE,Random,Structured-low,relation_mid,0.18566759625019202,0.1764992415248094,0.19501950110496005,0.18726841063636657,0.17801411163773928,0.19666791893652105,False
WN18RR,TransE,RotatE,Random,Relation-low,relation_mid,0.18566759625019202,0.1764992415248094,0.19501950110496005,0.20580661094935654,0.1963576645951183,0.21563346263982416,False
WN18RR,TransE,RotatE,Structured-low,Relation-low,relation_mid,0.18726841063636657,0.17801411163773928,0.19666791893652105,0.20580661094935654,0.1963576645951183,0.21563346263982416,False
WN18RR,DistMult,ComplEx,Random,Structured-low,relation_mid,-0.21827983935410794,-0.2783322209742941,-0.16924994371010482,-0.180179266862813,-0.21768297781395246,-0.1416209993152806,False
WN18RR,DistMult,ComplEx,Random,Relation-low,relation_mid,-0.21827983935410794,-0.2783322209742941,-0.16924994371010482,-0.20527999370060568,-0.23198612199143542,-0.1791541453339553,False
WN18RR,DistMult,ComplEx,Structured-low,Relation-low,relation_mid,-0.180179266862813,-0.21768297781395246,-0.1416209993152806,-0.20527999370060568,-0.23198612199143542,-0.1791541453339553,False
WN18RR,DistMult,RotatE,Random,Structured-low,relation_mid,0.31810192027277473,0.2676565293532185,0.36281260434421886,0.371787069556161,0.3395560467767161,0.4055069289241748,False
WN18RR,DistMult,RotatE,Random,Relation-low,relation_mid,0.31810192027277473,0.2676565293532185,0.36281260434421886,0.4571330868493782,0.4345130520403767,0.4799629474746411,False
WN18RR,DistMult,RotatE,Structured-low,Relation-low,relation_mid,0.371787069556161,0.3395560467767161,0.4055069289241748,0.4571330868493782,0.4345130520403767,0.4799629474746411,False
WN18RR,ComplEx,RotatE,Random,Structured-low,relation_mid,0.5363817596268827,0.505410509396481,0.5650745767524502,0.551966336418974,0.5242596270826448,0.5777641374411947,False
WN18RR,ComplEx,RotatE,Random,Relation-low,relation_mid,0.5363817596268827,0.505410509396481,0.5650745767524502,0.6624130805499839,0.6366341696852424,0.687065228255024,False
WN18RR,ComplEx,RotatE,Structured-low,Relation-low,relation_mid,0.551966336418974,0.5242596270826448,0.5777641374411947,0.6624130805499839,0.6366341696852424,0.687065228255024,False
WN18RR,TransE,DistMult,Random,Structured-low,coverage_high,-0.0320405199669504,-0.05822089169162899,-0.002494604201557119,-0.06685373599828962,-0.08748929566513075,-0.047559891222401084,False
WN18RR,TransE,DistMult,Random,Relation-low,coverage_high,-0.0320405199669504,-0.05822089169162899,-0.002494604201557119,-0.09874346828226607,-0.11877629602231353,-0.07987687669263549,False
WN18RR,TransE,DistMult,Structured-low,Relation-low,coverage_high,-0.06685373599828962,-0.08748929566513075,-0.047559891222401084,-0.09874346828226607,-0.11877629602231353,-0.07987687669263549,False
WN18RR,TransE,ComplEx,Random,Structured-low,coverage_high,-0.1632098686038829,-0.1878754762232493,-0.13966685913838353,-0.18856827645429253,-0.2131656582005436,-0.16288484467508355,False
WN18RR,TransE,ComplEx,Random,Relation-low,coverage_high,-0.1632098686038829,-0.1878754762232493,-0.13966685913838353,-0.21940584860340695,-0.24185262559476847,-0.19741487430133353,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,coverage_high,-0.18856827645429253,-0.2131656582005436,-0.16288484467508355,-0.21940584860340695,-0.24185262559476847,-0.19741487430133353,False
WN18RR,TransE,RotatE,Random,Structured-low,coverage_high,0.12749916242703346,0.1175891082306513,0.13842843373464994,0.12818325990808954,0.11802223293940736,0.13905519908447747,False
WN18RR,TransE,RotatE,Random,Relation-low,coverage_high,0.12749916242703346,0.1175891082306513,0.13842843373464994,0.12346759513065043,0.11261096913615361,0.13456923680134167,False
WN18RR,TransE,RotatE,Structured-low,Relation-low,coverage_high,0.12818325990808954,0.11802223293940736,0.13905519908447747,0.12346759513065043,0.11261096913615361,0.13456923680134167,False
WN18RR,DistMult,ComplEx,Random,Structured-low,coverage_high,-0.1311693486369325,-0.16402491355172813,-0.10180680978774732,-0.12171454045600291,-0.14858168025014487,-0.09129648523681713,False
WN18RR,DistMult,ComplEx,Random,Relation-low,coverage_high,-0.1311693486369325,-0.16402491355172813,-0.10180680978774732,-0.12066238032114088,-0.13753920884115547,-0.10270121288195033,False
WN18RR,DistMult,ComplEx,Structured-low,Relation-low,coverage_high,-0.12171454045600291,-0.14858168025014487,-0.09129648523681713,-0.12066238032114088,-0.13753920884115547,-0.10270121288195033,False
WN18RR,DistMult,RotatE,Random,Structured-low,coverage_high,0.15953968239398386,0.1344393344193137,0.18424339015906385,0.19503699590637916,0.1736359421162862,0.21861805969330717,False
WN18RR,DistMult,RotatE,Random,Relation-low,coverage_high,0.15953968239398386,0.1344393344193137,0.18424339015906385,0.2222110634129165,0.2027553373110497,0.24254005347426363,False
WN18RR,DistMult,RotatE,Structured-low,Relation-low,coverage_high,0.19503699590637916,0.1736359421162862,0.21861805969330717,0.2222110634129165,0.2027553373110497,0.24254005347426363,False
WN18RR,ComplEx,RotatE,Random,Structured-low,coverage_high,0.29070903103091633,0.2635573124312449,0.3176479929780037,0.31675153636238207,0.29148112067322063,0.3416354298544113,False
WN18RR,ComplEx,RotatE,Random,Relation-low,coverage_high,0.29070903103091633,0.2635573124312449,0.3176479929780037,0.34287344373405737,0.3183585051303179,0.3689895631484827,False
WN18RR,ComplEx,RotatE,Structured-low,Relation-low,coverage_high,0.31675153636238207,0.29148112067322063,0.3416354298544113,0.34287344373405737,0.3183585051303179,0.3689895631484827,False
WN18RR,TransE,DistMult,Random,Structured-low,relation_high,0.060914905313633125,0.05047119588699866,0.07205592206674205,0.055037256487049754,0.04508273771981575,0.06573520846118186,False
WN18RR,TransE,DistMult,Random,Relation-low,relation_high,0.060914905313633125,0.05047119588699866,0.07205592206674205,0.056185353284797714,0.046232023926387054,0.06645251904199732,False
WN18RR,TransE,DistMult,Structured-low,Relation-low,relation_high,0.055037256487049754,0.04508273771981575,0.06573520846118186,0.056185353284797714,0.046232023926387054,0.06645251904199732,False
WN18RR,TransE,ComplEx,Random,Structured-low,relation_high,0.058764700685248306,0.04916482310967475,0.06905989727115638,0.05148385992980058,0.04233465919888205,0.0610192687532432,False
WN18RR,TransE,ComplEx,Random,Relation-low,relation_high,0.058764700685248306,0.04916482310967475,0.06905989727115638,0.05367478665410251,0.04402575839252378,0.06373572019602732,False
WN18RR,TransE,ComplEx,Structured-low,Relation-low,relation_high,0.05148385992980058,0.04233465919888205,0.0610192687532432,0.05367478665410251,0.04402575839252378,0.06373572019602732,False
WN18RR,TransE,RotatE,Random,Structured-low,relation_high,0.08091520140995323,0.06959939016824288,0.09344192177148095,0.07471946300041168,0.062412034820136436,0.08750780596732534,False
WN18RR,TransE,RotatE,Random,Relation-low,relation_high,0.08091520140995323,0.06959939016824288,0.09344192177148095,0.07584456950047229,0.06430757575463866,0.08820242031689901,False
WN18RR,TransE,RotatE,Structured-low,Relation-low,relation_high,0.07471946300041168,0.062412034820136436,0.08750780596732534,0.07584456950047229,0.06430757575463866,0.08820242031689901,False
WN18RR,DistMult,ComplEx,Random,Structured-low,relation_high,-0.002150204628384819,-0.00960241292733639,0.006177007209011774,-0.0035533965572491708,-0.00893775901161784,0.0015618728863958991,False
WN18RR,DistMult,ComplEx,Random,Relation-low,relation_high,-0.002150204628384819,-0.00960241292733639,0.006177007209011774,-0.002510566630695203,-0.007763962017958978,0.0024371849008835806,False
WN18RR,DistMult,ComplEx,Structured-low,Relation-low,relation_high,-0.0035533965572491708,-0.00893775901161784,0.0015618728863958991,-0.002510566630695203,-0.007763962017958978,0.0024371849008835806,False
WN18RR,DistMult,RotatE,Random,Structured-low,relation_high,0.020000296096320105,0.012767237748221564,0.028200730618873054,0.019682206513361934,0.013455657857355538,0.026963396347345167,False
WN18RR,DistMult,RotatE,Random,Relation-low,relation_high,0.020000296096320105,0.012767237748221564,0.028200730618873054,0.019659216215674576,0.013767809180864317,0.025911234906677887,False
WN18RR,DistMult,RotatE,Structured-low,Relation-low,relation_high,0.019682206513361934,0.013455657857355538,0.026963396347345167,0.019659216215674576,0.013767809180864317,0.025911234906677887,False
WN18RR,ComplEx,RotatE,Random,Structured-low,relation_high,0.022150500724704925,0.015576609162197792,0.02909292285587741,0.023235603070611104,0.015548728956100322,0.03151079680490194,False
WN18RR,ComplEx,RotatE,Random,Relation-low,relation_high,0.022150500724704925,0.015576609162197792,0.02909292285587741,0.02216978284636978,0.015903364278521386,0.02919210241186588,False
WN18RR,ComplEx,RotatE,Structured-low,Relation-low,relation_high,0.023235603070611104,0.015548728956100322,0.03151079680490194,0.02216978284636978,0.015903364278521386,0.02919210241186588,False
CoDEx-M,TransE,DistMult,Random,Structured-low,overall,-0.16818883290855108,-0.17509462641610665,-0.16055216511435857,-0.16311289146964392,-0.17217167031048736,-0.15438507392843556,False
CoDEx-M,TransE,DistMult,Random,Relation-low,overall,-0.16818883290855108,-0.17509462641610665,-0.16055216511435857,-0.15388340992247773,-0.16222070845225062,-0.1440266531615013,False
CoDEx-M,TransE,DistMult,Structured-low,Relation-low,overall,-0.16311289146964392,-0.17217167031048736,-0.15438507392843556,-0.15388340992247773,-0.16222070845225062,-0.1440266531615013,False
CoDEx-M,TransE,ComplEx,Random,Structured-low,overall,-0.16392986360615808,-0.17371624197251467,-0.1524652104510108,-0.1577603695217526,-0.16752303488093093,-0.1460980357794023,False
CoDEx-M,TransE,ComplEx,Random,Relation-low,overall,-0.16392986360615808,-0.17371624197251467,-0.1524652104510108,-0.1454137424413598,-0.1524149863679365,-0.13886005884343594,False
CoDEx-M,TransE,ComplEx,Structured-low,Relation-low,overall,-0.1577603695217526,-0.16752303488093093,-0.1460980357794023,-0.1454137424413598,-0.1524149863679365,-0.13886005884343594,False
CoDEx-M,TransE,RotatE,Random,Structured-low,overall,0.07466696789056972,0.0692993613069042,0.08006097756648317,0.0766815808710291,0.07186375961389366,0.08186346152095438,False
CoDEx-M,TransE,RotatE,Random,Relation-low,overall,0.07466696789056972,0.0692993613069042,0.08006097756648317,0.06800876872633652,0.05981064116839156,0.07682052964875821,False
CoDEx-M,TransE,RotatE,Structured-low,Relation-low,overall,0.0766815808710291,0.07186375961389366,0.08186346152095438,0.06800876872633652,0.05981064116839156,0.07682052964875821,False
CoDEx-M,DistMult,ComplEx,Random,Structured-low,overall,0.004258969302393001,-0.004463945637877165,0.011858328178304128,0.00535252194789132,-0.0038794418319797615,0.01746579016239036,False
CoDEx-M,DistMult,ComplEx,Random,Relation-low,overall,0.004258969302393001,-0.004463945637877165,0.011858328178304128,0.008469667481117937,-0.0011064773215311797,0.018193400424623758,False
CoDEx-M,DistMult,ComplEx,Structured-low,Relation-low,overall,0.00535252194789132,-0.0038794418319797615,0.01746579016239036,0.008469667481117937,-0.0011064773215311797,0.018193400424623758,False
CoDEx-M,DistMult,RotatE,Random,Structured-low,overall,0.24285580079912078,0.2356570326580966,0.24942013283006628,0.23979447234067303,0.2326694764127772,0.24773119340408645,False
CoDEx-M,DistMult,RotatE,Random,Relation-low,overall,0.24285580079912078,0.2356570326580966,0.24942013283006628,0.22189217864881425,0.21309960479724746,0.2306422736880561,False
CoDEx-M,DistMult,RotatE,Structured-low,Relation-low,overall,0.23979447234067303,0.2326694764127772,0.24773119340408645,0.22189217864881425,0.21309960479724746,0.2306422736880561,False
CoDEx-M,ComplEx,RotatE,Random,Structured-low,overall,0.23859683149672778,0.2306782081947069,0.2462592516943282,0.2344419503927817,0.22353851401695185,0.2427823754248795,False
CoDEx-M,ComplEx,RotatE,Random,Relation-low,overall,0.23859683149672778,0.2306782081947069,0.2462592516943282,0.2134225111676963,0.20457481496444377,0.22106143704671027,False
CoDEx-M,ComplEx,RotatE,Structured-low,Relation-low,overall,0.2344419503927817,0.22353851401695185,0.2427823754248795,0.2134225111676963,0.20457481496444377,0.22106143704671027,False
CoDEx-M,TransE,DistMult,Random,Structured-low,coverage_low,-0.17151640056575473,-0.1844747000671021,-0.15891109924872818,-0.16580269679214804,-0.17805255383170218,-0.153856007935977,False
CoDEx-M,TransE,DistMult,Random,Relation-low,coverage_low,-0.17151640056575473,-0.1844747000671021,-0.15891109924872818,-0.159983358667877,-0.17118403602727433,-0.14769737514128076,False
CoDEx-M,TransE,DistMult,Structured-low,Relation-low,coverage_low,-0.16580269679214804,-0.17805255383170218,-0.153856007935977,-0.159983358667877,-0.17118403602727433,-0.14769737514128076,False
CoDEx-M,TransE,ComplEx,Random,Structured-low,coverage_low,-0.1639888113607727,-0.17699798666868644,-0.15084741524617806,-0.15924535905293297,-0.17316640413317586,-0.14589143245959652,False
CoDEx-M,TransE,ComplEx,Random,Relation-low,coverage_low,-0.1639888113607727,-0.17699798666868644,-0.15084741524617806,-0.1506946268786769,-0.16115384525535703,-0.1399078698030227,False
CoDEx-M,TransE,ComplEx,Structured-low,Relation-low,coverage_low,-0.15924535905293297,-0.17316640413317586,-0.14589143245959652,-0.1506946268786769,-0.16115384525535703,-0.1399078698030227,False
CoDEx-M,TransE,RotatE,Random,Structured-low,coverage_low,0.06746150185137213,0.061318482425329134,0.07380488045956556,0.0661760811725136,0.06063607424386237,0.07219608955727704,False
