dataset,model_a,model_b,condition,slice,interaction,ci_low,ci_high,supported
CoDEx-M,TransE,DistMult,Structured-low,relation_low,0.008174220415685121,-0.0045881127155722665,0.021407812265327085,False
CoDEx-M,TransE,DistMult,Relation-low,relation_low,-0.040245814076291075,-0.06278341069560223,-0.021497753927445896,True
CoDEx-M,TransE,ComplEx,Structured-low,relation_low,-0.005009213803115073,-0.01707659157111533,0.0074208748256861905,False
CoDEx-M,TransE,ComplEx,Relation-low,relation_low,-0.049833618328848694,-0.07012011531964803,-0.028792364353369456,True
CoDEx-M,TransE,RotatE,Structured-low,relation_low,0.0015844517919765804,-0.006961971024027086,0.010472669274375164,False
CoDEx-M,TransE,RotatE,Relation-low,relation_low,-0.0031119420908235097,-0.01469347365495444,0.00906089712268688,False
CoDEx-M,DistMult,ComplEx,Structured-low,relation_low,-0.013183434218800194,-0.025699394934798767,-0.00019630495232714914,True
CoDEx-M,DistMult,ComplEx,Relation-low,relation_low,-0.009587804252557619,-0.029149939930203247,0.010786653311172494,False
CoDEx-M,DistMult,RotatE,Structured-low,relation_low,-0.006589768623708541,-0.016652278528684658,0.0026188179688840514,False
CoDEx-M,DistMult,RotatE,Relation-low,relation_low,0.03713387198546757,0.024353713299500913,0.05186685860981065,True
CoDEx-M,ComplEx,RotatE,Structured-low,relation_low,0.006593665595091653,-0.0030210973555950863,0.016309084920559984,False
CoDEx-M,ComplEx,RotatE,Relation-low,relation_low,0.04672167623802519,0.030913674362355488,0.06215629118287198,True
CoDEx-M,TransE,DistMult,Structured-low,coverage_mid,-0.005419098641244291,-0.015566586726610798,0.0060484421411548805,False
CoDEx-M,TransE,DistMult,Relation-low,coverage_mid,-0.01250482988054448,-0.025303615421453242,-0.0008415292528223901,True
CoDEx-M,TransE,ComplEx,Structured-low,coverage_mid,-0.003930331651862379,-0.013698348419629013,0.006112744876887448,False
CoDEx-M,TransE,ComplEx,Relation-low,coverage_mid,-0.01747263004642345,-0.029561043363497054,-0.006739170553953432,True
CoDEx-M,TransE,RotatE,Structured-low,coverage_mid,0.0001653146486557712,-0.005784283960290783,0.006996328132638088,False
CoDEx-M,TransE,RotatE,Relation-low,coverage_mid,0.006977201908662429,-0.002116709145051505,0.015215913655288437,False
CoDEx-M,DistMult,ComplEx,Structured-low,coverage_mid,0.0014887669893819122,-0.01125117159512098,0.014168959487313079,False
CoDEx-M,DistMult,ComplEx,Relation-low,coverage_mid,-0.004967800165878972,-0.019128154381183596,0.00822095671155661,False
CoDEx-M,DistMult,RotatE,Structured-low,coverage_mid,0.005584413289900062,-0.003517869705376207,0.014192843756499225,False
CoDEx-M,DistMult,RotatE,Relation-low,coverage_mid,0.01948203178920691,0.008472172309580637,0.029863519777187868,True
CoDEx-M,ComplEx,RotatE,Structured-low,coverage_mid,0.00409564630051815,-0.0047416193811028896,0.012241465443384317,False
CoDEx-M,ComplEx,RotatE,Relation-low,coverage_mid,0.02444983195508588,0.011164452165326057,0.037422127373577536,True
CoDEx-M,TransE,DistMult,Structured-low,relation_mid,-0.008382884939048749,-0.02386711527063899,0.005526502108896678,False
CoDEx-M,TransE,DistMult,Relation-low,relation_mid,-0.02335792211808889,-0.03959182552421235,-0.008437785069832778,True
CoDEx-M,TransE,ComplEx,Structured-low,relation_mid,-0.010101437717725745,-0.02774925651452993,0.0049129587689135615,False
CoDEx-M,TransE,ComplEx,Relation-low,relation_mid,-0.022295181835951236,-0.034352435402389116,-0.009919227245415184,True
CoDEx-M,TransE,RotatE,Structured-low,relation_mid,-0.0015475534353154852,-0.014091492891273105,0.008799848513233292,False
CoDEx-M,TransE,RotatE,Relation-low,relation_mid,0.0006598025098596347,-0.008732916016776447,0.00951431474113561,False
CoDEx-M,DistMult,ComplEx,Structured-low,relation_mid,-0.001718552778676996,-0.025714516016901424,0.01851166263386926,False
CoDEx-M,DistMult,ComplEx,Relation-low,relation_mid,0.001062740282137653,-0.016664620598305306,0.01630702175498378,False
CoDEx-M,DistMult,RotatE,Structured-low,relation_mid,0.0068353315037332635,-0.006672592049007985,0.020484079334477132,False
CoDEx-M,DistMult,RotatE,Relation-low,relation_mid,0.024017724627948524,0.004666065340719183,0.04205655874366868,True
CoDEx-M,ComplEx,RotatE,Structured-low,relation_mid,0.00855388428241026,-0.008289858318472332,0.024172719766835177,False
CoDEx-M,ComplEx,RotatE,Relation-low,relation_mid,0.02295498434581087,0.012079515712379639,0.033334130398169445,True
CoDEx-M,TransE,DistMult,Structured-low,coverage_high,-0.003742194914265279,-0.020131958080849152,0.01431854754686102,False
CoDEx-M,TransE,DistMult,Relation-low,coverage_high,-0.02066174412890709,-0.03352709286363769,-0.007566128455030558,True
